選項,票數,分母,比例
我沒參加過 g0v 的活動,61,126,0.48412698412698413
g0v Summit（兩年一次的高峰會）,40,126,0.31746031746031744
雙月大黑客松（大松）,38,126,0.30158730158730157
各專案的小聚（例如國會松、數位韌性松）,33,126,0.2619047619047619
零時小學校,14,126,0.1111111111111111
2018年的g0v獎助金,1,126,0.007936507936507936
我不記得,1,126,0.007936507936507936
