主題,筆數,分母,比例,分母說明,信賴度
向外求助（人脈、專家、在地組織）,6,28,0.2143,曾參與者中有填答者,L1（僅供參考）
降低期待、放慢步調,5,28,0.1786,曾參與者中有填答者,L1（僅供參考）
自己補能力或用工具頂著,4,28,0.1429,曾參與者中有填答者,L1（僅供參考）
團隊內部溝通、建立固定節奏,4,28,0.1429,曾參與者中有填答者,L1（僅供參考）
對外推廣、擴大能見度,4,28,0.1429,曾參與者中有填答者,L1（僅供參考）
沒有特別行動或尚未行動,3,28,0.1071,曾參與者中有填答者,L1（僅供參考）
只描述困難，未提行動,3,28,0.1071,曾參與者中有填答者,L1（僅供參考）
交棒或淡出,1,28,0.0357,曾參與者中有填答者,L1（僅供參考）
建立文件、避免交接斷層,1,28,0.0357,曾參與者中有填答者,L1（僅供參考）
