動機,動機類型,初次_人數,持續_人數,分母,初次_比例,持續_比例,留存,流失,新增,淨變化,留存率,信賴度
我很認同這件事想達成的目標,集體（認同目標）,39,39,47,0.8298,0.8298,36,3,3,0,0.923,L2
我認同這個社群，想成為其中一員,認同（社群歸屬）,20,17,47,0.4255,0.3617,14,6,3,-3,0.7,L2
純粹覺得好玩、有趣,內在樂趣,16,15,47,0.3404,0.3191,13,3,2,-1,0.812,L2
想認識新朋友、找到同好,報酬（社交）,13,15,47,0.2766,0.3191,12,1,3,2,0.923,L2
身邊有人在做，我就跟著加入,規範（人際）,12,12,47,0.2553,0.2553,8,4,4,0,0.667,L2
累積作品集，練功或建立好名聲,報酬（聲望）,6,9,47,0.1277,0.1915,5,1,4,3,0.833,L2
