選項,票數,分母,比例
它要解決的問題夠重要、而且講得夠清楚,16,27,0.5925925925925926
呼應我自己關心的議題,14,27,0.5185185185185185
團隊或發起人的能力和信譽,12,27,0.4444444444444444
預期能產生看得到、而且能被衡量的影響,12,27,0.4444444444444444
專案有長期維持下去的規劃，不會經費花完就停止,11,27,0.4074074074074074
當時剛好有預算或資源,7,27,0.25925925925925924
