分群,切法,人數,達3分以上題數_平均,達3分以上題數_中位數,達3分以上題數_最大,一題都沒達3分以上的人數,該群平均角色廣度,信賴度,決策可用性,達3定義,讀法說明
（基準）全體曾參與者,基準,47,2.51,2.0,10,14,3.21,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。角色廣度（一個人勾了幾種角色，1–5）是互斥且有序的分組，可以讀成順序。「切法」欄區分兩套切法：二分組與逐級。**兩套不可混在一起加總**——同一批 47 人被切了兩次，全部相加會得到 94。逐級各只有 5–11 人，僅供追溯。
1–2 種角色,二分組,16,1.94,1.0,10,7,1.69,L1（僅供參考）,僅供參考,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。角色廣度（一個人勾了幾種角色，1–5）是互斥且有序的分組，可以讀成順序。「切法」欄區分兩套切法：二分組與逐級。**兩套不可混在一起加總**——同一批 47 人被切了兩次，全部相加會得到 94。逐級各只有 5–11 人，僅供追溯。
3–5 種角色,二分組,31,2.81,2.0,9,7,4.0,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。角色廣度（一個人勾了幾種角色，1–5）是互斥且有序的分組，可以讀成順序。「切法」欄區分兩套切法：二分組與逐級。**兩套不可混在一起加總**——同一批 47 人被切了兩次，全部相加會得到 94。逐級各只有 5–11 人，僅供追溯。
1 種角色,逐級,5,1.8,0.0,7,3,1.0,L1（僅供參考）,不可作為決策依據（n<10）,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。角色廣度（一個人勾了幾種角色，1–5）是互斥且有序的分組，可以讀成順序。「切法」欄區分兩套切法：二分組與逐級。**兩套不可混在一起加總**——同一批 47 人被切了兩次，全部相加會得到 94。逐級各只有 5–11 人，僅供追溯。
2 種角色,逐級,11,2.0,1.0,10,4,2.0,L1（僅供參考）,僅供參考,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。角色廣度（一個人勾了幾種角色，1–5）是互斥且有序的分組，可以讀成順序。「切法」欄區分兩套切法：二分組與逐級。**兩套不可混在一起加總**——同一批 47 人被切了兩次，全部相加會得到 94。逐級各只有 5–11 人，僅供追溯。
3 種角色,逐級,10,2.8,2.5,8,3,3.0,L1（僅供參考）,僅供參考,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。角色廣度（一個人勾了幾種角色，1–5）是互斥且有序的分組，可以讀成順序。「切法」欄區分兩套切法：二分組與逐級。**兩套不可混在一起加總**——同一批 47 人被切了兩次，全部相加會得到 94。逐級各只有 5–11 人，僅供追溯。
4 種角色,逐級,11,2.09,2.0,5,2,4.0,L1（僅供參考）,僅供參考,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。角色廣度（一個人勾了幾種角色，1–5）是互斥且有序的分組，可以讀成順序。「切法」欄區分兩套切法：二分組與逐級。**兩套不可混在一起加總**——同一批 47 人被切了兩次，全部相加會得到 94。逐級各只有 5–11 人，僅供追溯。
5 種角色,逐級,10,3.6,3.0,9,2,5.0,L1（僅供參考）,僅供參考,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,這張表算的是做過專案的 47 人。角色廣度（一個人勾了幾種角色，1–5）是互斥且有序的分組，可以讀成順序。「切法」欄區分兩套切法：二分組與逐級。**兩套不可混在一起加總**——同一批 47 人被切了兩次，全部相加會得到 94。逐級各只有 5–11 人，僅供追溯。
