選項,票數,分母,比例
非營利組織（例如：開放文化基金會、地球公民基金會）,75,127,0.5905511811023622
開源社群（例如：COSCUP、SITCON、g0v）,68,127,0.5354330708661418
研究單位,25,127,0.1968503937007874
學校,20,127,0.15748031496062992
我還不熟悉相關資訊管道,14,127,0.11023622047244094
政府單位,9,127,0.07086614173228346
企業,2,127,0.015748031496062992
[去識別化],1,127,0.007874015748031496
社群媒體,1,127,0.007874015748031496
朋友轉發,1,127,0.007874015748031496
朋友圈分享,1,127,0.007874015748031496
個人興趣，主動搜尋,1,127,0.007874015748031496
有關注網路意見領袖，他們會分享,1,127,0.007874015748031496
