選項,票數,分母,比例
g0v 社群管道（FB_Threads_Instgram),51,127,0.4015748031496063
親友推薦,51,127,0.4015748031496063
g0v Slack,29,127,0.2283464566929134
揪松團每月電子報,24,127,0.1889763779527559
揪松團 LINE 群組,15,127,0.11811023622047244
都沒有，我之前不太清楚這些管道,14,127,0.11023622047244094
社群活動資訊彙整網頁（https://g0v.hackmd.io/@jothon/event）,6,127,0.047244094488188976
其他（自由填答）,4,127,0.031496062992125984
