分群,人數,達3分以上題數_平均,達3分以上題數_中位數,達3分以上題數_最大,一題都沒達3分以上的人數,該群平均角色廣度,信賴度,決策可用性,達3定義,讀法說明
（基準）全體曾參與者,47,2.51,2.0,10,14,3.21,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。
使用者,39,2.41,1.0,10,12,3.49,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。
落地推廣,36,2.64,2.0,10,10,3.47,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。
開發維護,33,2.73,2.0,9,8,3.85,L2,可用於比較,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。
發起者,27,2.85,2.0,9,6,3.85,L1（僅供參考）,僅供參考,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。
出資者,16,3.31,3.0,9,2,4.56,L1（僅供參考）,僅供參考,「達3」＝該題評 3、4、5 分者合計（共 13 題，每題強制作答 1–5 分，無「沒遇到」選項）,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。
