選項,票數,分母,比例
不知道有哪些專案或議題,16,26,0.6153846153846154
身邊沒有人帶，怕自己融不進去、或幫不上忙,14,26,0.5384615384615384
不知道怎麼加入、找不到入口,13,26,0.5
覺得要會寫程式、技術門檻太高,9,26,0.34615384615384615
沒有時間,8,26,0.3076923076923077
還沒遇到讓我想投入的議題,4,26,0.15384615384615385
覺得參與好像也改變不了什麼,2,26,0.07692307692307693
其他（自由填答）,1,26,0.038461538461538464
