選項,票數,分母,比例
台北市,41,127,0.3228346456692913
新北市,39,127,0.30708661417322836
桃園市,11,127,0.08661417322834646
台中市,9,127,0.07086614173228346
北部其他（基隆、新竹市、新竹縣）,7,127,0.05511811023622047
台南市,6,127,0.047244094488188976
高雄市,5,127,0.03937007874015748
東部區域（宜蘭、花蓮、台東）,4,127,0.031496062992125984
中部區域（苗栗、彰化、南投、雲林）,3,127,0.023622047244094488
南部其他（嘉義市、嘉義縣、屏東）,2,127,0.015748031496062992
目前居住於海外,2,127,0.015748031496062992
