選項,票數,分母,比例
使用過某個公民科技工具、服務，或參與討論的人,90,101,0.8910891089108911
協助落地應用，或推廣給更多使用者的人,48,101,0.4752475247524752
參與籌備、開發、設計或維護的人,33,101,0.32673267326732675
發起專案的人,28,101,0.27722772277227725
出錢或調度資源的人,17,101,0.16831683168316833
其他（自由填答）,2,101,0.019801980198019802
