分群,類別,分子,分母,比例,信賴度
全體,從未參加過任何 g0v 活動,60,127,0.4724,L2
曾參與,從未參加過任何 g0v 活動,13,47,0.2766,L2
全體,最近一次參加：超過 1 年以前,26,127,0.2047,L2
全體,最近一次參加：最近一個月內,16,127,0.126,L2
全體,最近一次參加：1 到 6 個月前,16,127,0.126,L2
全體,最近一次參加：7 到 12 個月前,9,127,0.0709,L2
