選項,票數,分母,比例
議題研究,24,47,0.5106382978723404
專案管理,24,47,0.5106382978723404
行銷推廣,21,47,0.44680851063829785
行政、後勤,19,47,0.40425531914893614
文案撰寫,18,47,0.3829787234042553
寫程式,13,47,0.2765957446808511
活絡氣氛與關係維繫（舉例：讓夥伴彼此熟識、張羅食物，維持協作順暢）,11,47,0.23404255319148937
體驗設計（UI／UX）,8,47,0.1702127659574468
視覺設計,7,47,0.14893617021276595
其他（自由填答）,3,47,0.06382978723404255
