選項,票數,分母,比例
人脈（例如：由社群介紹可諮詢的專家）,31,47,0.6595744680851063
經費（例如：獎助金、標案或機構支持費用）,22,47,0.46808510638297873
公開資料或開放資料（例如：政治獻金資料集）,21,47,0.44680851063829785
場地（例如：NPO Hub）,19,47,0.40425531914893614
現成的數位工具或平台（例如：Pol.is）,17,47,0.3617021276595745
政府窗口（例如：協助將專案成果結合到體制內）,16,47,0.3404255319148936
主要靠我自己想辦法,11,47,0.23404255319148937
其他（自由填答）,1,47,0.02127659574468085
